epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1392.71,1.78954,1.14148,1.36713,0.61982,0.65606,0.62946,0.29195,1.83319,1.10684,1.43076,0.00113898,0.00113898,0.00113898
43,1425.41,1.79655,1.14342,1.37364,0.62421,0.66034,0.63859,0.29705,1.82412,1.10303,1.4309,0.00113191,0.00113191,0.00113191
44,1458.22,1.79298,1.13994,1.35994,0.6231,0.66385,0.63745,0.29787,1.83721,1.08793,1.43564,0.00112484,0.00112484,0.00112484
45,1490.85,1.79167,1.1401,1.36185,0.61964,0.66928,0.64639,0.30106,1.83411,1.10974,1.41628,0.00111776,0.00111776,0.00111776
46,1523.57,1.78508,1.12094,1.35132,0.60894,0.68189,0.64471,0.29977,1.83454,1.07979,1.41984,0.00111069,0.00111069,0.00111069
47,1556.15,1.78901,1.11879,1.3607,0.6041,0.68282,0.62891,0.28924,1.84783,1.11114,1.42559,0.00110362,0.00110362,0.00110362
48,1588.82,1.78672,1.13162,1.3552,0.57073,0.71047,0.62995,0.29107,1.83473,1.15249,1.41596,0.00109654,0.00109654,0.00109654
49,1621.45,1.77876,1.11346,1.35912,0.60698,0.67786,0.63509,0.29074,1.84144,1.09987,1.426,0.00108947,0.00108947,0.00108947
50,1654.14,1.78441,1.11364,1.35766,0.61196,0.67396,0.64235,0.29577,1.85456,1.09051,1.43049,0.0010824,0.0010824,0.0010824
51,1686.59,1.77604,1.11056,1.35236,0.60627,0.65852,0.633,0.29329,1.84233,1.09922,1.42835,0.00107532,0.00107532,0.00107532
52,1719.21,1.77913,1.11818,1.35062,0.61732,0.66242,0.64773,0.29826,1.83481,1.08473,1.42029,0.00106825,0.00106825,0.00106825
53,1751.86,1.77879,1.11981,1.34617,0.60849,0.69093,0.64923,0.30011,1.84175,1.09054,1.42033,0.00106118,0.00106118,0.00106118
54,1784.44,1.77738,1.10602,1.34331,0.60229,0.67607,0.64205,0.29925,1.83692,1.07377,1.41982,0.0010541,0.0010541,0.0010541
55,1817.03,1.76965,1.09643,1.33486,0.61788,0.6682,0.64471,0.29907,1.83309,1.06906,1.42073,0.00104703,0.00104703,0.00104703
56,1849.79,1.77602,1.10523,1.34545,0.60896,0.66857,0.64133,0.29909,1.84672,1.07463,1.41788,0.00103995,0.00103995,0.00103995
57,1882.55,1.77116,1.11033,1.34921,0.58685,0.66858,0.61943,0.29002,1.84337,1.10112,1.42555,0.00103288,0.00103288,0.00103288
58,1915.19,1.77806,1.09968,1.34514,0.6179,0.65094,0.6364,0.29465,1.82786,1.10189,1.4087,0.00102581,0.00102581,0.00102581
59,1947.91,1.76766,1.09462,1.34297,0.61426,0.67807,0.64702,0.30362,1.826,1.08344,1.41138,0.00101873,0.00101873,0.00101873
60,1980.61,1.76212,1.10036,1.35137,0.61877,0.67724,0.65288,0.30159,1.83322,1.06473,1.4164,0.00101166,0.00101166,0.00101166
61,2013.21,1.76423,1.07809,1.34461,0.62641,0.66855,0.6567,0.30505,1.84543,1.05984,1.42555,0.00100459,0.00100459,0.00100459
62,2045.76,1.75993,1.08131,1.33652,0.62818,0.68744,0.65697,0.30446,1.83135,1.06297,1.41704,0.000997513,0.000997513,0.000997513
63,2078.51,1.76518,1.09306,1.34249,0.62689,0.66502,0.65395,0.30357,1.8413,1.07132,1.42843,0.00099044,0.00099044,0.00099044
64,2111.03,1.76607,1.08957,1.34914,0.60573,0.67488,0.64233,0.30077,1.82205,1.07563,1.41124,0.000983366,0.000983366,0.000983366
65,2143.79,1.76051,1.0876,1.34392,0.63216,0.6576,0.64806,0.30085,1.82623,1.06214,1.42283,0.000976293,0.000976293,0.000976293
66,2176.63,1.75855,1.0745,1.34486,0.63587,0.66309,0.65766,0.3045,1.83278,1.07225,1.40487,0.000969219,0.000969219,0.000969219
67,2209.49,1.75754,1.0742,1.34027,0.61676,0.68841,0.66004,0.30776,1.83168,1.06305,1.41612,0.000962146,0.000962146,0.000962146
