epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2544.75,1.05633,0.80484,1.2386,0.77186,0.81046,0.85949,0.65919,0.87716,0.75753,1.13406,0.00113898,0.00113898,0.00113898
43,2602.7,1.0633,0.79495,1.24218,0.78728,0.795,0.85062,0.65867,0.86009,0.75227,1.11316,0.00113191,0.00113191,0.00113191
44,2660.68,1.07013,0.79476,1.25134,0.75249,0.80239,0.83302,0.64505,0.85678,0.75105,1.11631,0.00112484,0.00112484,0.00112484
45,2718.36,1.04317,0.78431,1.2332,0.7569,0.83099,0.85359,0.65886,0.87725,0.7199,1.12188,0.00111776,0.00111776,0.00111776
46,2776.8,1.06641,0.78378,1.24755,0.78795,0.78841,0.84684,0.64999,0.87311,0.77063,1.13684,0.00111069,0.00111069,0.00111069
47,2835.21,1.06404,0.77742,1.24508,0.79498,0.80799,0.86066,0.66679,0.85047,0.72232,1.10675,0.00110362,0.00110362,0.00110362
48,2893.08,1.05198,0.77854,1.24181,0.75967,0.84125,0.85626,0.65348,0.86546,0.74151,1.11636,0.00109654,0.00109654,0.00109654
49,2951.27,1.02988,0.76956,1.22451,0.76544,0.83034,0.86124,0.65716,0.89703,0.73846,1.13834,0.00108947,0.00108947,0.00108947
50,3010.13,1.02989,0.7611,1.21748,0.76325,0.82879,0.8594,0.6635,0.87703,0.70757,1.1191,0.0010824,0.0010824,0.0010824
51,3068.43,1.04658,0.76463,1.23213,0.78429,0.81318,0.86759,0.67548,0.85046,0.69767,1.10509,0.00107532,0.00107532,0.00107532
52,3127.16,1.01341,0.74754,1.21295,0.7608,0.8334,0.86202,0.67581,0.84651,0.70228,1.10444,0.00106825,0.00106825,0.00106825
53,3186.32,1.01636,0.74292,1.1989,0.77365,0.81432,0.85537,0.66641,0.83919,0.70546,1.10237,0.00106118,0.00106118,0.00106118
54,3245.76,1.00934,0.73535,1.20845,0.78328,0.82363,0.86507,0.673,0.84104,0.70803,1.10037,0.0010541,0.0010541,0.0010541
55,3304.71,1.01022,0.73358,1.2065,0.76793,0.83552,0.85918,0.66767,0.83712,0.70928,1.09611,0.00104703,0.00104703,0.00104703
56,3364.27,1.00679,0.73252,1.20365,0.77718,0.81391,0.86004,0.67561,0.82888,0.71807,1.09915,0.00103995,0.00103995,0.00103995
57,3426.39,0.99842,0.73282,1.20041,0.7767,0.82016,0.85765,0.6664,0.84779,0.74113,1.11002,0.00103288,0.00103288,0.00103288
58,4055.48,0.99856,0.72542,1.19554,0.77647,0.81683,0.86538,0.67852,0.83243,0.68689,1.09837,0.00102581,0.00102581,0.00102581
59,4158.21,0.9946,0.71669,1.19198,0.77503,0.83604,0.86428,0.68015,0.82543,0.70807,1.08802,0.00101873,0.00101873,0.00101873
60,4282.17,0.98741,0.71691,1.19071,0.79706,0.81116,0.86838,0.67996,0.82892,0.70152,1.09459,0.00101166,0.00101166,0.00101166
61,4347.48,0.97209,0.70521,1.17263,0.78601,0.80426,0.86395,0.67817,0.82382,0.68987,1.08643,0.00100459,0.00100459,0.00100459
62,4410.31,0.98696,0.70472,1.18315,0.80372,0.80343,0.86876,0.68263,0.82866,0.69325,1.09217,0.000997513,0.000997513,0.000997513
63,4495.29,0.98001,0.69773,1.1838,0.77248,0.82494,0.86651,0.68446,0.81726,0.6956,1.08354,0.00099044,0.00099044,0.00099044
64,4559.89,0.96523,0.69076,1.17754,0.7811,0.82241,0.85972,0.67513,0.82841,0.71573,1.09072,0.000983366,0.000983366,0.000983366
65,4622.85,0.99051,0.69881,1.18923,0.7715,0.82928,0.85868,0.678,0.8152,0.70106,1.0859,0.000976293,0.000976293,0.000976293
66,4694.17,0.97333,0.68658,1.18223,0.79688,0.81368,0.85804,0.67822,0.80981,0.69092,1.0872,0.000969219,0.000969219,0.000969219
67,4766.99,0.95392,0.68382,1.16374,0.79667,0.8061,0.86583,0.6918,0.79729,0.69011,1.07075,0.000962146,0.000962146,0.000962146
68,4833.13,0.94787,0.66878,1.16097,0.7921,0.80123,0.86671,0.68824,0.80584,0.67704,1.07987,0.000955072,0.000955072,0.000955072
69,4897.17,0.94985,0.6696,1.16632,0.79192,0.83445,0.874,0.68529,0.82091,0.66126,1.08531,0.000947999,0.000947999,0.000947999
70,4962.83,0.95827,0.66633,1.17384,0.77461,0.82956,0.86511,0.68292,0.80177,0.68355,1.08072,0.000940925,0.000940925,0.000940925
71,5049.89,0.93402,0.65345,1.15329,0.79328,0.801,0.86213,0.68467,0.79939,0.68625,1.08086,0.000933851,0.000933851,0.000933851
72,5119.21,0.94815,0.66115,1.16455,0.77461,0.82204,0.8713,0.68225,0.82234,0.67316,1.08148,0.000926778,0.000926778,0.000926778
73,5191.64,0.93264,0.64681,1.15363,0.78282,0.82838,0.8742,0.69405,0.80072,0.66974,1.07636,0.000919704,0.000919704,0.000919704
74,5280.59,0.92169,0.64047,1.1417,0.80237,0.79678,0.86727,0.68727,0.80052,0.68927,1.08025,0.000912631,0.000912631,0.000912631
75,5349.01,0.9223,0.6281,1.14605,0.77959,0.82763,0.86836,0.69481,0.78521,0.69124,1.06529,0.000905557,0.000905557,0.000905557
76,5419.14,0.92891,0.63407,1.14702,0.79498,0.81697,0.86871,0.69189,0.7863,0.68128,1.06763,0.000898484,0.000898484,0.000898484
77,5556.83,0.92168,0.6235,1.14101,0.78702,0.83289,0.87032,0.69438,0.78163,0.67374,1.05938,0.00089141,0.00089141,0.00089141
78,5694.49,0.90482,0.62232,1.1347,0.78978,0.82996,0.87117,0.69577,0.78098,0.66305,1.06543,0.000884337,0.000884337,0.000884337
79,5765.36,0.89933,0.61098,1.12951,0.78269,0.83696,0.86683,0.69357,0.78514,0.69675,1.06599,0.000877263,0.000877263,0.000877263
80,5830.2,0.92443,0.61123,1.14773,0.78559,0.82174,0.86192,0.68679,0.7843,0.69543,1.06284,0.00087019,0.00087019,0.00087019
81,5894.37,0.89979,0.60946,1.12623,0.78205,0.83523,0.86595,0.69225,0.78145,0.70276,1.06138,0.000863116,0.000863116,0.000863116
82,5961.09,0.89197,0.60239,1.1264,0.78784,0.81334,0.86911,0.68879,0.79812,0.68509,1.06626,0.000856042,0.000856042,0.000856042
83,6027.23,0.9013,0.59317,1.12812,0.82063,0.78321,0.86579,0.69411,0.77377,0.66516,1.05664,0.000848969,0.000848969,0.000848969
84,6105.28,0.90101,0.5996,1.12501,0.80474,0.81549,0.8695,0.69695,0.77759,0.66771,1.0569,0.000841895,0.000841895,0.000841895
85,6269.98,0.88534,0.58586,1.11792,0.80915,0.80968,0.86665,0.69293,0.78177,0.67474,1.06196,0.000834822,0.000834822,0.000834822
86,6351.92,0.87966,0.58745,1.11734,0.79707,0.80956,0.86774,0.69741,0.77036,0.68327,1.05718,0.000827748,0.000827748,0.000827748
87,6419.39,0.87363,0.57558,1.1151,0.8053,0.82464,0.878,0.70295,0.77302,0.65567,1.0646,0.000820675,0.000820675,0.000820675
88,6488.53,0.88929,0.57878,1.12024,0.80185,0.81919,0.87291,0.6989,0.77814,0.66197,1.05856,0.000813601,0.000813601,0.000813601
89,6555.86,0.87356,0.56933,1.10965,0.80774,0.82912,0.87562,0.70221,0.77636,0.68536,1.05878,0.000806528,0.000806528,0.000806528
90,6962.65,0.84851,0.55852,1.09326,0.82346,0.81756,0.87596,0.70357,0.76858,0.65406,1.06295,0.000799454,0.000799454,0.000799454
91,7035.28,0.86613,0.56235,1.10735,0.79666,0.84058,0.87738,0.69826,0.78502,0.64932,1.06282,0.00079238,0.00079238,0.00079238
92,7114.01,0.8588,0.56123,1.09689,0.82039,0.8206,0.87958,0.70538,0.77101,0.63491,1.05598,0.000785307,0.000785307,0.000785307
93,7255.02,0.8701,0.54824,1.10439,0.80379,0.82603,0.87508,0.70145,0.77404,0.66108,1.05823,0.000778233,0.000778233,0.000778233
94,7358.8,0.86693,0.53577,1.10185,0.7933,0.84144,0.87524,0.70304,0.76875,0.65307,1.05464,0.00077116,0.00077116,0.00077116
